綜合,#genre#
94 龍華日韓台,https://www.4gtv.tv/channel/litv-longturn11?set=1&ch=28
95 八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
96 霹靂布袋戲,https://www.4gtv.tv/channel/4gtv-live145?set=1&ch=301
97 靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
98 靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
99 CI 罪案偵查頻道,https://www.4gtv.tv/channel/4gtv-live027?set=1&ch=215
100 視納華仁紀實頻道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
101 影迷數位紀實台,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=212
102 金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=236
103 ROCK Action,https://www.4gtv.tv/channel/4gtv-live138?set=1&ch=180
104 采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
105 靖天映畫,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
106 靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
107 龍華電影台,https://www.4gtv.tv/channel/litv-longturn03?set=1&ch=121
108 影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
109 amc電影台,https://www.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39
110 CinemaWorld,https://www.4gtv.tv/channel/4gtv-live069?set=1&ch=225
111 My Cinema Europe HD 我的歐洲電影,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=176
112 好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=1&ch=8
113 好消息,https://www.4gtv.tv/channel/litv-ftv16?set=1&ch=9
114 大愛二台,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=230
115 人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=210
116 FRANCE24 英文台,https://www.4gtv.tv/channel/4gtv-live146?set=1&ch=316
117 半島國際新聞台,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=85
118 VOA美國之音,https://www.4gtv.tv/channel/litv-ftv03?set=1&ch=86
119 CNBC Asia 財經台,https://www.4gtv.tv/channel/4gtv-live130?set=1&ch=235
120 DW德國之聲,https://www.4gtv.tv/channel/4gtv-live071?set=1&ch=226
121 國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
122 國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
123 TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284
124 TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285
125 經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
126 經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
127 兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=269
128 精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
129 戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
130 戲劇免費看 2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=244
131 電影免費看 2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=245
132 花系列戲劇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live004?set=1&ch=329
133 超人力霸王《TV版》FastTV飛速看,https://www.4gtv.tv/channel/fast-live403?set=1&ch=318
134 超人力霸王《劇場版》FastTV飛速看,https://www.4gtv.tv/channel/fast-live404?set=1&ch=325
